,,,,,,,,,,,,,,
,Moosebar,Crystal Garden,The Rave Cave,Cage,Freedom,Elixir,The Library,Core,Mainstage,Terra Solis,The Rose Garden,Atmosphere,Rise,Youphoria
Moosebar,,,,,,,,,,,,,,
Crystal Garden,5-15,,,,,,,,,,,,,
The Rave Cave,20-25,5-10,,,,,,,,,,,,
Cage,20-25,5-10,5-10,,,,,,,,,,,
Freedom,25-30,20-25,15-20,15-20,,,,,,,,,,
Elixir,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,,
The Library,5-10,5-10,10-15,10-15,20-25,Unknown,,,,,,,,
Core,5-10,10-15,5-10,5-10,15-20,Unknown,15-20,,,,,,,
Mainstage,5-10,5-10,10-15,10-15,30-35,Unknown,5-10,15-20,,,,,,
Terra Solis,15-20,10-15,5-10,5-10,10-15,Unknown,10-15,5-10,10-15,,,,,
The Rose Garden,20-25,15-20,10-15,10-15,5-10,Unknown,20-25,10-15,25-30,10-15,,,,
Atmosphere,5-10,5-10,5-10,5-10,10-15,Unknown,10-15,5-10,10-15,5-10,10-15,,,
Rise,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Youphoria,10-15,2-5,5-10,5-10,5-10,Unknown,10-15,10-15,5-10,5-10,10-15,10-15,Unknown,
